model,topic,blockade_condition,repetition,gamma_1,gamma_2,gamma_3,gamma_norm,gamma_initial,gamma_revised,gamma_final,delta_gamma,euclidean_dist_to_claude_B0_mean,euclidean_dist_to_gemini_B0_mean,euclidean_dist_to_gpt4o_B0_mean
gemini,T2,B_Op7,5,0.15,0.312,0.25,0.427,0.543,0.3,0.314,-0.243,0.2572122858651974,0.2473771695205522,0.43961235287466616
gemini,T3,B0,1,0.617,0.5,0.0,0.794,0.307,0.204,0.167,-0.103,0.3972270383546417,0.3664340377202969,0.6218572350628397
gemini,T3,B0,2,0.559,0.375,0.15,0.69,0.259,0.082,0.055,-0.177,0.21366366092529637,0.1907612748961382,0.49631109276339974
gemini,T3,B0,3,0.15,0.312,0.1,0.36,0.3,0.057,0.066,-0.243,0.3172667016880278,0.2699915998693293,0.5540388260762958
gemini,T3,B0,4,0.15,0.375,0.25,0.475,0.3,0.1,0.124,-0.2,0.259848956126439,0.25760229812639485,0.40665112910208423
gemini,T3,B0,5,0.15,0.312,0.0,0.346,0.322,0.015,0.009,-0.307,0.38556213507034115,0.3251083880800371,0.6385601152593231
gemini,T3,B_Op3,1,0.15,0.625,0.0,0.643,0.3,0.05,0.1,-0.25,0.483406123254557,0.4578197723995765,0.5894278079629429
gemini,T3,B_Op3,2,0.5,0.688,0.45,0.962,0.35,0.3,0.3,-0.05,0.40151562858748097,0.46412113074067196,0.2256396702709875
gemini,T3,B_Op3,3,0.611,0.75,0.4,1.047,0.344,0.3,0.3,-0.044,0.47897828760811273,0.5307359268035281,0.3609755958510214
gemini,T3,B_Op3,4,0.5,0.75,0.1,0.907,0.3,0.15,0.15,-0.15,0.4686346978191009,0.4736580454294005,0.51509624421073
gemini,T3,B_Op3,5,0.5,0.688,0.0,0.85,0.35,0.1,0.15,-0.25,0.4687374531654153,0.45333036959815515,0.5890783146577371
gemini,T3,B_Op5,1,0.577,0.875,0.0,1.048,0.331,0.2,0.2,-0.131,0.6390645663780773,0.6378194917059214,0.6769622004218551
gemini,T3,B_Op5,2,0.781,0.375,0.25,0.902,0.3,0.312,0.219,0.012,0.382221925064484,0.3948230287103324,0.5666755516166195
gemini,T3,B_Op5,3,0.15,0.375,0.1,0.416,0.312,0.12,0.1,-0.192,0.3194080149276158,0.2793903076343201,0.5282661647313786
gemini,T3,B_Op5,4,0.15,0.312,0.0,0.346,0.3,0.031,0.032,-0.269,0.38556213507034115,0.3251083880800371,0.6385601152593231
gemini,T3,B_Op5,5,0.572,0.75,0.3,0.99,0.3,0.279,0.262,-0.021,0.450262057029015,0.48899826584559575,0.3894208787417541
gemini,T3,B_Op7,1,0.593,0.375,0.1,0.709,0.287,0.15,0.15,-0.137,0.2718452500964473,0.24005787635484901,0.5523868760207831
gemini,T3,B_Op7,2,0.05,0.312,0.1,0.331,0.4,0.05,0.065,-0.35,0.40162938139533566,0.36305297685048665,0.5961333917840872
gemini,T3,B_Op7,3,0.15,0.312,0.25,0.427,0.281,0.129,0.111,-0.152,0.2572122858651974,0.2473771695205522,0.43961235287466616
gemini,T3,B_Op7,4,0.15,0.375,0.1,0.416,0.338,0.106,0.115,-0.232,0.3194080149276158,0.2793903076343201,0.5282661647313786
gemini,T3,B_Op7,5,0.15,0.375,0.0,0.404,0.3,0.121,0.111,-0.179,0.38732606418881754,0.33295486781244094,0.616332005334787
gemini,T4,B0,1,0.512,0.188,0.0,0.545,0.45,0.155,0.164,-0.295,0.34184944054364047,0.26963490871917906,0.6912505629654127
gemini,T4,B0,2,0.15,0.188,0.25,0.347,0.468,0.162,0.164,-0.306,0.29438546159754564,0.2724342562894762,0.5209119511011434
gemini,T4,B0,3,0.15,0.188,0.15,0.283,0.46,0.116,0.1,-0.344,0.32351630561688854,0.2775255375636628,0.5849352620589735
gemini,T4,B0,4,0.564,0.25,0.0,0.617,0.41,0.185,0.15,-0.225,0.34173053711952633,0.2779645013306555,0.6747695167981435
gemini,T4,B0,5,0.514,0.188,0.15,0.567,0.4,0.056,0.09,-0.344,0.2297826799391112,0.17741686503824827,0.5786285689455715
gemini,T4,B_Op3,1,0.5,0.562,0.0,0.752,0.45,0.1,0.1,-0.35,0.38216509521409725,0.35248186336320914,0.5760755339363058
gemini,T4,B_Op3,2,0.5,0.562,0.0,0.752,0.45,0.15,0.2,-0.3,0.38216509521409725,0.35248186336320914,0.5760755339363058
gemini,T4,B_Op3,3,0.5,0.562,0.0,0.752,0.45,0.1,0.1,-0.35,0.38216509521409725,0.35248186336320914,0.5760755339363058
gemini,T4,B_Op3,4,0.75,0.438,0.0,0.869,0.45,0.25,0.15,-0.2,0.46414954486673793,0.43644979550917423,0.6995807750360211
gemini,T4,B_Op3,5,0.6,0.438,0.1,0.75,0.45,0.19,0.15,-0.26,0.2930986182157807,0.27121287580054154,0.53734277774992
gemini,T4,B_Op5,1,0.544,0.188,0.25,0.628,0.45,0.218,0.2,-0.232,0.2057806599270204,0.19168501245532996,0.5246200728146037
gemini,T4,B_Op5,2,0.1,0.438,0.3,0.54,0.458,0.45,0.461,-0.008,0.32116475522697063,0.3354346791850837,0.37311829330655977
