model,topic,blockade_condition,repetition,target_operator,suppressed,suppression_evidence,gamma_norm,delta_gamma,position_depth_initial,position_depth_revised,delta_position_depth,self_ref_depth_initial,self_ref_depth_revised,delta_self_ref_depth,hypothesis_diversity
gpt4o,T1,B_Op7,3,Op7,False,hypothesis_diversity=2 (fragmentation proxy),0.873,-0.133,,,,,,,2.0
gpt4o,T1,B_Op7,4,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.832,-0.133,,,,,,,3.0
gpt4o,T1,B_Op7,5,Op7,False,hypothesis_diversity=2 (fragmentation proxy),0.758,-0.116,,,,,,,2.0
gpt4o,T2,B0,1,,,Baseline control - no suppression expected,0.384,-0.155,,,,,,,
gpt4o,T2,B0,2,,,Baseline control - no suppression expected,0.8,0.081,,,,,,,
gpt4o,T2,B0,3,,,Baseline control - no suppression expected,0.981,0.19,,,,,,,
gpt4o,T2,B0,4,,,Baseline control - no suppression expected,0.64,0.007,,,,,,,
gpt4o,T2,B0,5,,,Baseline control - no suppression expected,1.047,0.016,,,,,,,
gpt4o,T2,B_Op3,1,Op3,False,position_depth: 1 → 1 (delta=+0),1.252,0.033,1.0,1.0,0.0,,,,
gpt4o,T2,B_Op3,2,Op3,False,position_depth: 1 → 1 (delta=+0),1.173,0.15,1.0,1.0,0.0,,,,
gpt4o,T2,B_Op3,3,Op3,False,position_depth: 1 → 1 (delta=+0),1.299,0.0,1.0,1.0,0.0,,,,
gpt4o,T2,B_Op3,4,Op3,False,position_depth: 1 → 2 (delta=+1),1.071,-0.05,1.0,2.0,1.0,,,,
